"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","pv_module_oem","pv_module_model","pv_module_type","pv_module_rating_w","pv_module_qty","inverter_oem","inverter_model","inverter_type","inverter_rating_w","inverter_qty","array_structure_oem","array_structure_model","array_structure_type"
Karadoc Solar Farm,Solar PV - Single axis tracking,Solar - Solar,104.5,Operational,,Australia,Victoria,2018-01-12,,POINT (142.2520922 -34.41541985),-34.41541985,142.2520922,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kelsey Creek Solar Farm,Solar PV - Fixed,Solar - Solar,50.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kennedy Energy Park - Phase 1 - Solar,Solar PV - Single axis tracking,Solar - Solar,15.0,Construction,,Australia,Queensland,2024-01-03,,POINT (144.420674 -20.874707),-20.874707,144.420674,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kerang Hybrid,Solar PV - Single axis tracking,Solar - Solar,147.0,Development,,Australia,Victoria,2025-01-03,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kerang Solar Farm,Solar PV - Single axis tracking,Solar - Solar,53.31,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kerang Solar Farm Green Switch,Solar PV - Single axis tracking,Solar - Solar,29.9,Development,,Australia,Victoria,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kiamal Solar Farm - Stage 1,Solar PV - Single axis tracking,Solar - Solar,199.95,Operational,,Australia,Victoria,2022-01-01,,POINT (142.29854 -35.020407),-35.020407,142.29854,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kiamal Solar Farm - Stage 2,Storage - Battery,Solar - Solar,150.04,Development,,Australia,Victoria,2026-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kiamal Solar Farm - Stage 2,Solar PV - Single axis tracking,Solar - Solar,150.04,Development,,Australia,Victoria,2026-01-04,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kidston Solar Project Phase One 50MW,Solar PV - Fixed,Solar - Solar,50.0,Operational,,Australia,Queensland,2017-01-12,,POINT (144.144847 -18.89161),-18.89161,144.144847,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kidston Solar Project Phase Two 270MW,Solar PV - Fixed,Solar - Solar,270.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kingaroy Solar Farm,Solar PV - Single axis tracking,Solar - Solar,40.0,Development,,Australia,Queensland,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
Kingfisher Solar Storage - Solar,Solar PV - Single axis tracking,Solar - Solar,,Development,,Australia,South Australia,,,,,,,,,{},{},{},{},,{},{},{},{},{},{},{},{}
