"name","technology","fuel","nameplate_capacity_mw","status","planning_status","country","admin_division_level_1","date_commercial_operation","date_end_operation","geom_point","latitude","longitude","geom_area","website","note","geom_multipoint","wind_turbine_oem","wind_turbine_model","wind_turbine_type","wind_turbine_rating_mw","wind_turbine_hub_height_m","wind_turbine_qty"
Banana Range Wind Farm,Wind Turbine - Onshore,Wind - Wind,450.0,Development,,Australia,Queensland,2026-01-12,,POINT (150.3285855 -24.45939146),-24.45939146,150.3285855,,,,,,,,,,
Bango 973 Wind Farm,Wind Turbine - Onshore,Wind - Wind,159.0,Operational,,Australia,New South Wales,2022-01-09,,POINT (148.78935 -34.55885),-34.55885,148.78935,,,"Aemo has project listed as split 
under 2 DUIDs","MULTIPOINT ((148.7985745 -34.5827545), (148.800446 -34.5800017), (148.7962003 -34.5764025), (148.7960522 -34.5735719), (148.7886005 -34.5674924), (148.797418 -34.5638979), (148.7965657 -34.5666582), (148.796095 -34.560264), (148.7963064 -34.557406), (148.7944289 -34.5532986), (148.7854729 -34.5563809), (148.7956688 -34.5487974), (148.7960771 -34.545987), (148.7976446 -34.5432426), (148.7998464 -34.5408764), (148.8016669 -34.5377868), (148.8289298 -34.5647759), (148.829656 -34.5648768), (148.8294961 -34.5656862), (148.8286118 -34.5655728), (148.8287053 -34.5651162), (148.828855 -34.5651372), (148.8678745 -34.5759177), (148.8669269 -34.5732017), (148.8696979 -34.5693822), (148.8683249 -34.5663452), (148.8716207 -34.5631374), (148.8640249 -34.5621517), (148.867144 -34.5596081), (148.867854 -34.5559951), (148.8707023 -34.5539974), (148.8676176 -34.5979841), (148.8688325 -34.5942072), (148.8642222 -34.5854227), (148.8599148 -34.5900141), (148.8595773 -34.5928019), (148.8827209 -34.5995924), (148.8818582 -34.6025184), (148.8817412 -34.6054247), (148.8805208 -34.608033), (148.8809095 -34.6108256), (148.8830351 -34.6130895), (148.8834816 -34.6162256), (148.8778479 -34.5924576), (148.8665392 -34.6046005), (148.8673867 -34.6011768), (148.8618894 -34.5876752), (148.7773988 -34.5628097), (148.7838414 -34.5734871), (148.7842009 -34.5707606), (148.7855854 -34.5764147), (148.7857776 -34.5790143))",{GE},"{""GE 5.3MW""}",,{5.3},,{30}
Bango 999 Wind Farm,Wind Turbine - Onshore,Wind - Wind,84.8,Operational,,Australia,New South Wales,2022-01-09,,POINT (148.78935 -34.55885),-34.55885,148.78935,,,Aemo has Bango listed as split under 2 DUIDs,"MULTIPOINT ((148.7985745 -34.5827545), (148.800446 -34.5800017), (148.7962003 -34.5764025), (148.7960522 -34.5735719), (148.7886005 -34.5674924), (148.797418 -34.5638979), (148.7965657 -34.5666582), (148.796095 -34.560264), (148.7963064 -34.557406), (148.7944289 -34.5532986), (148.7854729 -34.5563809), (148.7956688 -34.5487974), (148.7960771 -34.545987), (148.7976446 -34.5432426), (148.7998464 -34.5408764), (148.8016669 -34.5377868), (148.8289298 -34.5647759), (148.829656 -34.5648768), (148.8294961 -34.5656862), (148.8286118 -34.5655728), (148.8287053 -34.5651162), (148.828855 -34.5651372), (148.8678745 -34.5759177), (148.8669269 -34.5732017), (148.8696979 -34.5693822), (148.8683249 -34.5663452), (148.8716207 -34.5631374), (148.8640249 -34.5621517), (148.867144 -34.5596081), (148.867854 -34.5559951), (148.8707023 -34.5539974), (148.8676176 -34.5979841), (148.8688325 -34.5942072), (148.8642222 -34.5854227), (148.8599148 -34.5900141), (148.8595773 -34.5928019), (148.8827209 -34.5995924), (148.8818582 -34.6025184), (148.8817412 -34.6054247), (148.8805208 -34.608033), (148.8809095 -34.6108256), (148.8830351 -34.6130895), (148.8834816 -34.6162256), (148.8778479 -34.5924576), (148.8665392 -34.6046005), (148.8673867 -34.6011768), (148.8618894 -34.5876752), (148.7773988 -34.5628097), (148.7838414 -34.5734871), (148.7842009 -34.5707606), (148.7855854 -34.5764147), (148.7857776 -34.5790143))",{GE},"{""GE 5.3MW""}",{},{5.3},{},{16}
Barn Hill Wind Farm and Battery Project - Wind,Wind Turbine - Onshore,Wind - Wind,360.0,Development,,Australia,South Australia,,,POINT (138.1436 -33.584),,,,https://www.agl.com.au/about-agl/how-we-source-energy/barn-hill-wind-farm-and-battery,"Location source: GEM Wiki; 
Was previously shelved",,,,,,,
Bashan 1 Wind Farm,Wind Turbine - Onshore,Wind - Wind,460.2,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
Bass Offshore Wind Energy Project,Wind Turbine - Offshore,Wind - Wind,500.0,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
Bellbay Wind Farm (Low Heads Wind Farm Stage 2),Wind Turbine - Onshore,Wind - Wind,144.0,Development,,Australia,Tasmania,,,,,,,,,,,,,,,
Ben Bullen Wind Farm,Wind Turbine - Onshore,Wind - Wind,160.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
Ben More Wind Farm,Wind Turbine - Onshore,Wind - Wind,80.0,Abandoned,,Australia,Victoria,,,POINT (143.5143 -37.2751),,,,,"Source: Gem Wiki
",,{},{},{},{},{},{}
Bendemeer Renewable Energy Hub - Wind,Wind Turbine - Onshore,Wind - Wind,380.0,Development,,Australia,New South Wales,,,,,,,,,,,,,,,
